name,current_price,old_price,link
ثلاجة ديفروست يونيون اير جوستو، 2 باب، 350 لتر، ديجيتال تاتش، RD-350BB-DHGHUSTO - اسود,"13,150 جنيه
15,500 جنيه","15,500 جنيه",https://www.raneen.com/ar/unionaire-rd-350bb-dhghusto-gusto-defrost-refrigerator-2-doors-350-liters-digital-touch-black-3
"ثلاجة نوفروست توشيبا, 411 لتر, 2 باب, GR-RT559WE-DMN49 - فضي","24,800 جنيه","43,000 جنيه",https://www.raneen.com/ar/toshiba-gr-rt559we-dmn49-no-frost-refriger-411-liter-2-doors-silver-2
ثلاجة دبيلو الاسكا، ديفروست، 10قدم، KS-27 - ابيض,"9,789 جنيه","11,000 جنيه",https://www.raneen.com/ar/w-alaska-ks-27-refrigerator-de-frost-289-liter-white-1
"IDEAL Super Jumbo Defrost Refrigerator, 11 feet, 1 Door - White","11,000 جنيه","12,500 جنيه",https://www.raneen.com/ar/ka01000000ttt-conf
ثلاجة ديفروست هامبورج، 10 قدم، باب واحد، 280 لتر، FB29 - فضي,,,https://www.raneen.com/ar/hamburg-fb29-defrost-refrigerator-10-feet-one-door-280-liter-silver-fb29slv-2
ثلاجة ديفروست هامبورج، 11 قدم، 2 باب، 300 لتر، FB30 - فضي,"11,149 جنيه","13,500 جنيه",https://www.raneen.com/ar/hamburg-fb30-defrost-refrigerator-11-feet-2-doors-300-liter-silver-fb30slv-2
ثلاجة بيكو، نوفروست انفرتر 408 لتر، RDNE448M20B - اسود,"28,083 جنيه","34,068 جنيه",https://www.raneen.com/ar/el1089083slv-2
ثلاجة ديفروست فريش، 294 لتر، 2باب، FDD-B315BS - فضي,"13,795 جنيه","15,999 جنيه",https://www.raneen.com/ar/el1022000slv-2
ثلاجة نوفروست ميديا، 2 باب، 338 لتر، MDRT489MTN46- فضي,"16,999 جنيه","20,049 جنيه",https://www.raneen.com/ar/el1117130slv-2
ثلاجة ديفروست يونيون اير، 2 باب، 320 لتر، RD-320BBA-DHGHUSTO - أسود,"12,310 جنيه
15,700 جنيه","15,700 جنيه",https://www.raneen.com/ar/unionaire-rd-320bb2-ds-defrost-refrigerator-2-door-320-liter-black-1
ثلاجة ديفروست جوستو يونيون اير، 310 لتر، 2 باب، RD-320BB-DVGSGHUSTO - اسود,"12,350 جنيه
16,000 جنيه","16,000 جنيه",https://www.raneen.com/ar/el1114642blk-1
ثلاجة ديفروست هامبورج، 12 قدم، 2 باب، 320 لتر، FB32 - فضي,"12,100 جنيه","12,700 جنيه",https://www.raneen.com/ar/hamburg-fb32-defrost-refrigerator-12-feet-2-doors-320-liter-silver-fb32slv-4
ثلاجة ايديال سوبر جامبو ديفروست، 11 قدم، باب واحد، تكنولوجيا C6، 922061015 - ابيض,"10,850 جنيه","12,270 جنيه",https://www.raneen.com/ar/11-c6-922061017
ثلاجة ديفروست سيلتال، 10 قدم، 1 باب، 290 لتر، FB29 - فضى,"10,197 جنيه","11,500 جنيه",https://www.raneen.com/ar/el1107640slv-1
ثلاجة سيلتال، ديفروست، 14 قدم 2 باب، SR350 - فضى,"13,399 جنيه","19,200 جنيه",https://www.raneen.com/ar/siltal-sr350-refrigerator-defrost-14-feet-2-door-silver-1
ثلاجة ديفروست سيلتال، 11 قدم، 2 باب، FB30 - فضى,"11,450 جنيه","13,500 جنيه",https://www.raneen.com/ar/el1107641slv-1
ثلاجة ديلوكس سيلتال، 12 قدم، 2 باب، ديفروست، SR320 - فضي,"12,850 جنيه
13,364 جنيه","13,364 جنيه",https://www.raneen.com/ar/siltal-sr320-deluxe-refrigerator-12-feet-2-doors-defrost-silver-1
ثلاجة ديفروست هامبورج، 14 قدم، 2 باب، 350 لتر، SR350 - فضي,"14,550 جنيه","15,774 جنيه",https://www.raneen.com/ar/el1119364slv-1
ثلاجة ديفروست يونيون اير جوستو، 2 باب، 350 لتر، ديجيتال تاتش، RD-350BB-DHGHUSTO - اسود,"13,150 جنيه","15,500 جنيه",https://www.raneen.com/ar/unionaire-rd-350bb-dhghusto-gusto-defrost-refrigerator-2-doors-350-liters-digital-touch-black-2
ثلاجة ديفروست كلاسيك كريازي، 2 باب، 350 لتر، KR350/2 - فضي داكن,"17,255 جنيه","21,000 جنيه",https://www.raneen.com/ar/kiriazi-kr350-2-defrost-refrigerator-2-doors-350-liter-dark-silver-1
ديب فريزر راسي يونيون اير، 205 لتر، 5 درج، نوفروست، ديجيتال، UFN-205LBLVA-DH - فضي,"16,670 جنيه","19,249 جنيه",https://www.raneen.com/ar/el1128911slv-conf
ديب فريزر ديفروست افقي يونيون اير، ديجيتال، 282 لتر، UC-320VV-02DS - فضي,"10,999 جنيه
11,974 جنيه","11,974 جنيه",https://www.raneen.com/ar/el1126649slv
ديب فريزر راسى نوفروست يونيون اير، 6 درج، 230 لتر، ديجيتال، UFN-230LBG1A-DH - اسود,"19,500 جنيه","29,999 جنيه",https://www.raneen.com/ar/el1100205blk-2
ديب فريزر رأسى سيلتال، 6 درج ، VF2029 - فضى,"11,550 جنيه","13,500 جنيه",https://www.raneen.com/ar/el1107637slv-conf
ديب فريزر رأسي نوفروست فريش، 5 ادراج، 130 لتر، FNU-L250S - فضي,"19,499 جنيه","20,249 جنيه",https://www.raneen.com/ar/el1120823slv-2
ديب فريزر رأسي دابليو ألاسكا، 220 لتر، 5 درج، UP270 - فضي,"12,685 جنيه","13,710 جنيه",https://www.raneen.com/ar/w-alaska-up270-deep-freezer-242-liter-5-drawers-silver
ديب فريزر أفقى فريش، 200 لتر FDF-270 - رمادي,"11,699 جنيه","12,898 جنيه",https://www.raneen.com/ar/fresh-fdf-270-chest-freezer-200-liters-greyel1101855slv-conf
ديب فريزر نوفروست راسي فريش، 130 لتر، 5 درج، بيد ميكانيزم، FNU-L250BC - اسود رمادي داكن,"19,499 جنيه","20,249 جنيه",https://www.raneen.com/ar/el1120824blk-2
ديب فريزر رأسي فريش، أنفرتر، 7 أدراج، FNU-MT301 IB- اسود,"24,999 جنيه","26,449 جنيه",https://www.raneen.com/ar/el1121965blk-2
ديب فريزر رأسي نوفروست دابليو الاسكا، 280 لتر، 6 درج، UP200NF - فضي,"18,799 جنيه","18,890 جنيه",https://www.raneen.com/ar/w-alaska-up200nf-upright-no-frost-freezer-160-liter-6-drawers-silver-1
ديب فريزر راسي نوفروست ديجيتال شارب، 300 لتر، 7 درج، FJ-EC27-BK - اسود,"33,837 جنيه","9,999,999,999 جنيه",https://www.raneen.com/ar/sharp-fj-ec27-bk-deep-freezer-inverter-no-frost-7-drawers-black40290095blk-conf
ديب فريزر راسي نوفروست توشيبا، 238 لتر، 7 درج ، GR-RU312WE-DMN(37) - رمادي داكن,,,https://www.raneen.com/ar/el1110864dgy-2
ديب فريزر رأسي نوفروست بيكو، 404 لتر، 8 ادراج، RFNE448E35XB - فضي,"38,238 جنيه","39,768 جنيه",https://www.raneen.com/ar/beko-rfne448e35xb-nofrost-upright-deep-freezer-404-liter-8-drawers-silver
باساب ديب فريزر راسى 6 درج نوفروست فضى ديجيتال (NVF280),"18,999 جنيه
19,649 جنيه","19,649 جنيه",https://www.raneen.com/ar/el1103494slv
ديب فريزر رأسي نوفروست بريميوم، 230 لتر، ديجيتال، 6 ادراج، PRM-230BGMN-C10 - رمادي داكن فضي,"19,500 جنيه","28,849 جنيه",https://www.raneen.com/ar/el1091539dgy-2
ديب فريزر عمودي عميق دابليو الاسكا، 190 لتر، UP190 - أبيض,"10,824 جنيه","12,040 جنيه",https://www.raneen.com/ar/w-alaska-up190-upright-deep-freezer-184-liter-white-1
ديب فريز راسي وايت بوينت نوفروست، 226 لتر، 6 درج، WPVF323S - فضى,"24,999 جنيه
27,049 جنيه","27,049 جنيه",https://www.raneen.com/ar/el1089559slv
ديب فريزر رأسي فريش، أنفرتر، 7 أدراج، FNU-MT301 IT - فضي,"25,367 جنيه","26,449 جنيه",https://www.raneen.com/ar/el1121966slv-2
ديب فريزر أفقي ديفروست الاسكا، 140 لتر، CH140- رمادي,"8,980 جنيه","9,435 جنيه",https://www.raneen.com/ar/alaska-ch140-defrost-horizontal-freezer-140-liter-grey-2
ديب فريزر ديفروست دابليو الاسكا، 135 لتر، CH140 - ابيض,"8,650 جنيه","11,500 جنيه",https://www.raneen.com/ar/w-alaska-ch140-de-frost-chest-freezer-135-liter-white0
بوتاجاز الاهرام، 4 شعلة، 50×50 سم - اسود فضي,"3,349 جنيه","4,489 جنيه",https://www.raneen.com/ar/al-ahram-cooker-4-burners-50-50-cm-el1109462slv-1
بوتاجاز فريش غاز روك ، 5 شعلة غاز، 90x85x60 سم ، 19721 - اسود فضي,"17,149 جنيه","17,149 جنيه",https://www.raneen.com/ar/el1124196slv
بوتاجاز الاهرام، ستانلس ستيل، 4 شعلة، شواية، 50×50 سم - فضى اسود,"3,749 جنيه
4,739 جنيه","4,739 جنيه",https://www.raneen.com/ar/el1109463slv
بوتاجاز الاهرام، سطح ستانلس ستيل، 5 شعلة، 80×60 سم - فضى اسود,"4,899 جنيه","6,044 جنيه",https://www.raneen.com/ar/al-ahram-steel-cooker-stainless-steel-surface-5-burners-80-60-cm-silver-black-2
بوتاجاز هامر فريش، 5 شعلة، 60×90 سم، تايمر تاتش فصل غاز، هيدروليك، مروحة فرن، مروحة تبريد، امان كامل، 13914 - اسود فضي,"19,999 جنيه","21,949 جنيه",https://www.raneen.com/ar/fresh-13914-gas-cooker-5-burners-60-90-cm-black-silverel1095139slv-conf
بوتاجاز تيست ماكس زانوسي، 5 شعلة غاز، ZCG92686XA - فضي,"25,999 جنيه","31,888 جنيه",https://www.raneen.com/ar/el1094889slv-1
بوتاجاز الاهرام، سطح ستانلس ستيل، 4 شعلة، 50×50 سم - فضى اسود,"3,150 جنيه","4,100 جنيه",https://www.raneen.com/ar/al-ahram-cooker-4-burners-50-50-cm-silver-black-4
بوتاجاز 5 شعلة غاز زانوسي، 60X90 سم، ZCG922A6XA - فضي,"13,999 جنيه","17,341 جنيه",https://www.raneen.com/ar/ho1065763bsc-1
بوتاجاز الاهرام، 5 شعلة، 80×60 سم - فضى اسود,"5,399 جنيه","7,044 جنيه",https://www.raneen.com/ar/al-ahram-cooker-5-burners-80-60-cm-silver-black-80-60
بوتاجاز غاز بيكو، 5 شعلة، 90X60 سم، GGR 15115 DX NBE - اسود,"22,999 جنيه","24,129 جنيه",https://www.raneen.com/ar/beko-ggr-15115-dx-nbe-freestanding-gas-cooker-5-burners-90x60-cm-black-el1106603wnb-conf
بوتاجاز بروفيشنال فريش، 5 شعلة،60×90 سم، مروحة، ستانلس، 5790 - اسود,"16,699 جنيه","18,599 جنيه",https://www.raneen.com/ar/fresh-professional-cooker-5-burners-60-90-cm-fan-stainless-5790-blackel1037582blk-conf
بوتاجاز الاهرام، ستانلس ستيل، 4 شعلة، 60×60 سم - فضى اسود,"4,250 جنيه","5,600 جنيه",https://www.raneen.com/ar/al-ahram-cooker-4-burners-60-60-cm-silver-black-1
بوتاجاز فريش فيرونا اير قراير، غاز، 5 شعلة، مروحة، شواية، ستانلس كامل، امان كامل، مزودة بصينية اير فراير، 60×90 سم، 500015383-فضى اسود,"14,499 جنيه","16,039 جنيه",https://www.raneen.com/ar/fresh-verona-airgrill-gas-cooker-5-burners-fan-grill-full-stainless-full-safety-60-90-cm-silver-black-el1099243slv-x-4
بوتاجاز فريش روك، 5 شعلة، 90×60 سم، 15560 - فضي,"14,999 جنيه","21,000 جنيه",https://www.raneen.com/ar/fresh-15560-cooker-5-burners-90-60-cm-silverel1102982wit-conf
بوتاجاز موديرنو فريش، 5 شعلات غاز، 80×55 سم، ستانلس كامل، امان كامل، مروحة، حامل ظهر، Moderno 7530 - فضي,"13,299 جنيه","15,149 جنيه",https://www.raneen.com/ar/moderno-fresh-cooker-5-gas-burners-80-x-55-cm-full-stainless-full-safety-fan-back-stand-moderno-7530-silverel1049788slv-conf
بوتوجاز غاز برستيج يونيون جاز، 5 شعلة، 60×85 سم - اسود,"5,299 جنيه","8,299 جنيه",https://www.raneen.com/ar/capitaltecheg228-2
بوتاجاز غاز مونستر يونيون اير، 5 شعلة، 60×90 سم، C69SS-P2C-511-IDSF-2W-MO-AL - فضي اسود,"12,299 جنيه","13,514 جنيه",https://www.raneen.com/ar/unionaire-monster-c69ss-p2c-511-idsf-2w-mo-al-gas-cooker-5-burners-60-90-cm-silver-black-1
بوتاجاز يونيون إير، 5 شعلة، 90×60 سم، C69SS-2SC-511-IDSFP-2W-AL - فضي,"13,290 جنيه","14,424 جنيه",https://www.raneen.com/ar/el1102475slv-1
بوتاجاز غاز يونيون اير، 5 شعلة، 90×60 سم، C69SS-GC-447-IFSO-2W-M14-AL - فضى,"12,399 جنيه","13,744 جنيه",https://www.raneen.com/ar/el1095832slv-2
سخان مياه كهربائي بشاشة ديجيتال تورنيدو، 55 لتر- أوف وايت,"6,129 جنيه","6,129 جنيه",https://www.raneen.com/ar/tornado-electric-water-heater-with-digital-screen-55-liter-off-whiteel1066727ofw-conf
سخان مياه ديجيتال تورنيدو، كهرباء، 45 لتر، EWH-S45CSE-F - اوف وايت,"5,799 جنيه","7,000 جنيه",https://www.raneen.com/ar/tornado-ewh-s45cse-f-electric-water-heater-with-digital-screen-45-liter-off-white-1
سخان مياه ديجيتال تورنيدو، كهرباء، سعة 35 لتر، EWH-S35CSE-F - اوف وايت,"5,600 جنيه","6,583 جنيه",https://www.raneen.com/ar/tornado-electric-water-heaters-with-digital-screen-35-liter-off-white-ewh-s35cse-f-1
سخان غاز بمدخنة اريون، 10 لتر، AR-10FX-Black - اسود,"5,449 جنيه
5,999 جنيه","5,999 جنيه",https://www.raneen.com/ar/arion-ar-10fx-black-gas-heater-with-chimney-10-liters-black
سخان مياه كهرباء تورنيدو، 30 لتر، إينامل، لمبة ليد، TEEE-30MW - ابيض,"2,950 جنيه","4,885 جنيه",https://www.raneen.com/ar/tornado-teee-30mw-electric-water-heater-30-liter-enamel-led-lamp-white-1
سخان مياه تورنيدو كهرباء إيناملد، 30 لتر ، ديجيتال ،TEEE-30DS - فضي,"3,250 جنيه","5,060 جنيه",https://www.raneen.com/ar/el1099572slv-1
سخان كهرباء تورنيدو ، 40 لتر، 1500 وات ، TEEE-40DW - ابيض,"3,300 جنيه","3,444 جنيه",https://www.raneen.com/ar/tornado-teee-40dw-electric-water-heater-40-liter-1500-watt-whiteel1097350wit-conf
سخان مياه كهربائي اولمبيك، 50 لتر ، ديجيتال، Hero Turbo - ابيض,"3,697 جنيه","4,700 جنيه",https://www.raneen.com/ar/olympic-hero-turbo-electric-water-heater-50-liters-digital-white-2
سخان مياه غاز تورنيدو، 6 لتر، شاشة ديجيتال، غاز طبيعي، GHM-C06CNE-W - ابيض,"3,968 جنيه","5,099 جنيه",https://www.raneen.com/ar/tornado-ghm-c06cne-w-gas-water-heater-6-liter-digital-display-natural-gas-white
سخان كهربائي يونيون اير، 50 لتر، EWH50-C100-V-P-R-3 - ابيض,"2,699 جنيه","3,499 جنيه",https://www.raneen.com/ar/unionaire-ewh50-c100-v-p-3-electric-water-heater-50-liter-white-1
سخان غاز بمدخنة زانوسى، 10 لتر، شاشة ديجيتال، ZYG10113WL - ابيض,"5,749 جنيه","5,999 جنيه",https://www.raneen.com/ar/el1102985wit-conf
سخان مياه غاز اوليمبيك الكتريك، 10 لتر، بمدخنة، شاشة ديجيتال، غاز مسال، 945105580 - ابيض,"4,799 جنيه","6,000 جنيه",https://www.raneen.com/ar/el1109456wit-2
سخان مياة غاز اوليمبيك هيرو فلو، 6 لتر، بدون مدخنة، HERO945105585 - ابيض رمادي,"3,930 جنيه","5,499 جنيه",https://www.raneen.com/ar/el1107449wit-2
سخان غاز بدون مدخنة زانوسي، 6 لتر، بشاشة رقمية، 945105592 - أبيض,"4,449 جنيه","4,800 جنيه",https://www.raneen.com/ar/el1107451wit-2
سخان كهرباء بشاشة LED زانوسي، 50 لتر، ZYE05031WN - أبيض,"3,875 جنيه","4,274 جنيه",https://www.raneen.com/ar/el1101598wit-2
سخان غاز زانوسي، 6 لتر، بشاشة ديجيتال، ZYG06313WL - ابيض,"4,170 جنيه","4,850 جنيه",https://www.raneen.com/ar/zanussi-zyg06313wl-gas-water-heater-6-liter-digital-screen-white945105515wit-conf
سخان كهرباء اوليمبيك، ديجيتال، 50 لتر، هيرو بلس - ابيض,"3,394 جنيه","3,764 جنيه",https://www.raneen.com/ar/el1095189wit-2
سخان كهربائي كاسيل، 40 لتر، WH1040 - رمادي,"3,399 جنيه","3,859 جنيه",https://www.raneen.com/ar/el1109017slv-2
سخان غاز زانوسي، 6 لتر، بشاشة ديجيتال، ZYG06313SL - فضي,"4,432 جنيه","4,432 جنيه",https://www.raneen.com/ar/zanussi-zyg06313sl-gas-water-heater-6-liter-digital-screen-silver-1
سخان كهربائي كاسيل، 1500 وات، 50 لتر، WH1050 - فضي,"3,105 جنيه","4,099 جنيه",https://www.raneen.com/ar/el1109021slv-2
غسالة أطباق بوش، سعة 13 فرد، 6 برامج، 60 سم، SMS46NB01V - اسود,"41,999 جنيه","41,999 جنيه",https://www.raneen.com/ar/el1108865blk-4
غسالة اطباق ديجيتال ميديا، 13 فرد، 6 برامج، WQP13-5201C-S - فضي,"15,999 جنيه","26,699 جنيه",https://www.raneen.com/ar/el1105552slv-2
غسالة اطباق توشيبا، 13 فرد، 6 برامج، شاشة ديجيتال، DW-13F8AF(SS)-EG - فضى,"19,999 جنيه","27,049 جنيه",https://www.raneen.com/ar/el1114567slv-1
غسالة اطباق ديجيتال ميديا، 14 فرد، سمارت واي فاي، MDWEF1433D(B)-WI-EG - اسود,"21,999 جنيه","22,049 جنيه",https://www.raneen.com/ar/el1126745blk-2
غسالة أطباق بيكو، 45 سم، 10 أفراد، شاشة ليد، DVS05020S - فضي,"18,037 جنيه","21,999 جنيه",https://www.raneen.com/ar/el1098394slv-1
غسالة أطباق شارب، 10 أفراد، 45 سم، شاشة رقمية، 6 برامج، QW-V610-BK - اسود,"21,299 جنيه
21,949 جنيه","21,949 جنيه",https://www.raneen.com/ar/el1128924blk
غساله اطباق شارب، 10 افراد ، 6 برنامج، QW-V610-SS - فضي,"19,999 جنيه
21,449 جنيه","21,449 جنيه",https://www.raneen.com/ar/el1129012slv
غساله اطباق 13 افراد فريش، 60 سم، 6 برنامج، A15-60IX-500013747 - فضي,"15,365 جنيه","27,999 جنيه",https://www.raneen.com/ar/fresh-a15-60ix-dish-washer-60-cm-6-programs-silver500013747slv-conf
غسالة اطباق شارب، 15 فرد، 60 سم، انفرتر، شاشة ديجيتال، 10 برامج، QW-V1015A-BK - اسود,"35,605 جنيه
36,605 جنيه","36,605 جنيه",https://www.raneen.com/ar/el1128926blk
غسالة أطباق شارب، 14 أفراد، 60 سم، شاشة رقمية، 10 برامج،QW-V1014A-BK - اسود,"37,049 جنيه
38,049 جنيه","38,049 جنيه",https://www.raneen.com/ar/el1128923blk
غسالة أطباق فريش ، 60 سم ، 12 افراد ، 6 برامج ، 500013747 - فضي,"15,590 جنيه","15,590 جنيه",https://www.raneen.com/ar/fresh-500013747-dishwasher-60-cm-12-persons-6-programs-silver
غسالة اطباق وايت بوينت، 10 افراد، 5 برامج، WPD105DS - فضي,"14,699 جنيه","22,599 جنيه",https://www.raneen.com/ar/white-point-wpd105ds-dishwashers-10-persons-5-programs-silver-1
غساله اطباق وايت بوينت ، 10 افراد ، 5 برامج ديجيتال ،WPD105DB- رمادي,"14,999 جنيه","20,843 جنيه",https://www.raneen.com/ar/el1122528blk-2
غسالة أطباق بوش، 13 فرد، 6 برامج، 60 سم، ديجيتال، SMS4EMI60V - فضي,"41,999 جنيه","47,000 جنيه",https://www.raneen.com/ar/el1108866slv-2
غسالة اطباق بيكو، 13 فرد، 5 برامج، 60 سم، DVN05325X - فضي,"19,136 جنيه","21,574 جنيه",https://www.raneen.com/ar/el1122633dsl-2
غسالة اطباق ديجيتال انفرتر بيكو، 15 فرد، 6 برامج، 60 سم، شاشة ليد، (BDFN36531GB) 8690842541520 - اسود,"40,443 جنيه","46,999 جنيه",https://www.raneen.com/ar/el1099590blk-2
غسالة اطباق ديجيتال ميديا، 14 فرد، 9 برنامج، MDWEF1433D(SS) - فضي,"21,049 جنيه","22,049 جنيه",https://www.raneen.com/ar/el1120164slv-2
غسالة أطباق بيكو، 60 سم، 14 فرد، 5 برنامج، BDFN15420S - فضي,"24,500 جنيه","28,916 جنيه",https://www.raneen.com/ar/el1097221slv-3
غسالة اطباق بوش، 12 فرد، 60 سم، SMS25AB00V - اسود,"24,990 جنيه","26,543 جنيه",https://www.raneen.com/ar/12-60-sms25ab00g-3
غسالة ملابس شارب، فل اوتوماتيك، 7 كيلو، 1000 لفة، ES-FP710CXE-S - فضى,"22,999 جنيه","29,500 جنيه",https://www.raneen.com/ar/sharp-es-fp710cxe-s-washing-machine-full-automatic-7-kg-silver-1
غسالة ملابس شارب، فل اوتوماتيك 8 كيلو، 1400 لفة، ES-FP814CXE-S - فضى,"25,999 جنيه","28,999 جنيه",https://www.raneen.com/ar/sharp-es-fp814cxe-s-washing-machine-full-automatic-8-kg-silver-1
غسالة ملابس فل اوتوماتيك شارب، 7 كيلو،1000 لفة، ES-FP710CXE-B - اسود,"23,100 جنيه","28,999 جنيه",https://www.raneen.com/ar/eshr11820blk-1
غسالة ملابس فل اوتوماتيك تورنيدو، 8 كيلو، 1200 لفة، TWV-FN812SLOA - فضى,"19,499 جنيه","22,314 جنيه",https://www.raneen.com/ar/el1077587slv-1
غسالة ملابس ال جي، تحميل امامي، تقنية Direct Drive، كجم 9، شاشة ديجيتال، F4R3VYG6P.APTPEEC - فضي,"25,555 جنيه","35,723 جنيه",https://www.raneen.com/ar/el1101256bns-1
غسالة فول اتوماتيك وايت بوينت، تحميل امامى، 7 كيلو، انفرتر، 1000 لفة/ دقيقة، باب كروم، WPW71015DSWB - اسود,"17,926 جنيه","25,999 جنيه",https://www.raneen.com/ar/el1110339blk-2
غسالة ملابس انفرتر ال جي، تحميل علوي، 13 كجم، T1388NEHGB.ABMPEEC - اسود,"18,139 جنيه","20,999 جنيه",https://www.raneen.com/ar/lg-t1388nehgb-abmpeec-inverter-washing-machine-top-load-13-kg-black-2
غسالة فول اتوماتيك وايت بوينت، تحميل امامى، 7 كيلو، انفرتر، 1000 لفة/ دقيقة، باب كروم، WPW71015DSWB - اسود,"16,799 جنيه","18,049 جنيه",https://www.raneen.com/ar/el1117858blk-2
غسالة ملابس فوق اوتوماتيك فريش، 13 كيلو، 500018892 FTM-13GB - ذهبي اسود,"14,999 جنيه","17,149 جنيه",https://www.raneen.com/ar/el1119384gld-2
غسالة ملابس فوق اوتوماتيك فريش، 14 كيلو، 500018258 FTM-P14S - رمادي,"15,499 جنيه","17,649 جنيه",https://www.raneen.com/ar/el1119385slv-2
غسالة ملابس فريش، تحميل علوى، 8 كجم، 50013520 - فضي,"8,999 جنيه","11,500 جنيه",https://www.raneen.com/ar/fresh-50013520-top-loading-washing-machine-8-kg-silveramftm-0812s-conf
غسالة ملابس فول اوتوماتيك هايسنس، تحميل امامى، 12 كجم، 1400 دورة في الدقيقة، WD5S1245BB - اسود,"41,999 جنيه","47,099 جنيه",https://www.raneen.com/ar/catalog/product/view/id/651656/s/el1120414blk-2/category/9/
غسالة فول اوتوماتيك فريش، 10كجم، 17757 W10DD1458G2-OB - كحلي,"25,999 جنيه","34,999 جنيه",https://www.raneen.com/ar/el1120888blu-2
غسالة فول اوتوماتيك فريش، 10كجم، 17754 W10DD1458G2-DS - رمادي اسود,"25,999 جنيه","30,049 جنيه",https://www.raneen.com/ar/el1120890slv-2
غسالة فوق اوتوماتيك ومجفف فريش جراند ، 12 كجم ، FWT12000NA - ابيض,"6,465 جنيه","7,200 جنيه",https://www.raneen.com/ar/fresh-fwt12000na-grand-automatic-washer-and-dryer-12-kg-white-1
غسالة فول اتوماتيك كاندي، 14 كجم، تحميل امامى، موتور انفرتر، ROW41496DCBT-EGY - اسود,"47,999 جنيه
49,899 جنيه","49,899 جنيه",https://www.raneen.com/ar/el1124369blk
غسالة ملابس اوتوماتيك كاندي، تحميل امامي، 14 كيلو جرام، 1400 لفة، 13 برنامج، RO14146DCBT-EGY - اسود,"38,999 جنيه
40,899 جنيه","40,899 جنيه",https://www.raneen.com/ar/el1125226blk
غسالة ملابس اوتوماتيك كاندي، تحميل امامي، 14 كيلو جرام، 1400 لفة، 13 برنامج، RO14146DCRT-EGY - رمادي,"37,999 جنيه
40,099 جنيه","40,099 جنيه",https://www.raneen.com/ar/el1125227slv
